sid,code
18018,ngr2711a
18026,ngr2711b
18027,ngr2711c
18028,ngr2711d
18029,ngr2711f
18030,ngr2711g
18031,ngr2711h
18032,ngr2711i
18041,ngr2811c
18042,ngr2811d
18043,ngr2811e
18044,ngr2811f
18045,ngr2811g
18046,ngr2911e
18047,ngr2911f
18048,ngr2911g
18049,ngr2911h
18050,ngr2911i
18051,ngr3011a
18052,ngr3011b
18053,ngr3011c
18054,ngr3011d
18055,ngr3011e
18056,ngr3011f
18057,ngr3011g
18058,ngr3011h
18059,ngr3011i
18060,ngr0212b
18061,ngr0212c
18062,ngr0212d
18063,ngr0212e
18064,ngr0212f
18065,ngr0212g
18066,ngr0212h
18067,ngr0212i
18068,ngr0312a
18069,ngr0312c
18070,ngr0312d
18071,ngr0312e
18072,ngr0312f
18073,ngr0312g
18074,ngr0312h
18075,ngr0412a
18076,ngr0412b
18077,ngr0412c
18078,ngr0412d
18079,ngr0412e
18080,ngr0412f
18081,ngr0412g
18082,ngr0412h
18083,ngr0412i
18084,ngr0512a
18086,ngr0512b
18087,ngr0512c
18088,ngr0512d
18089,ngr0512f
18090,ngr0512g
18091,ngr0612e
18092,ngr0612f
18093,ngr0612g
18094,ngr0612h
18095,ngr0612i
18096,ngr0712b
18097,ngr0712c
18098,ngr0712d
18099,ngr0712f
18100,ngr0712g
18101,ngr0712h
18102,ngr0712i
18103,ngr0812a
18104,ngr0812d
18105,ngr0812e
18106,ngr0812f
18107,ngr0812g
18108,ngr0812h
18109,ngr0812i
18110,ngr0812j
18111,ngr0812k
18112,ngr0912b
18113,ngr0912c
18114,ngr0912d
18115,ngr0912e
18116,ngr0912f
18117,ngr0912g
18118,ngr0912h
18119,ngr1012b
18120,ngr1012c
18121,ngr1012d
18122,ngr1012e
18123,ngr1012f
18124,ngr1012g
18125,ngr1012h
18126,ngr1012i
18127,ngr1112a
18128,ngr1112b
18129,ngr1112c
18130,ngr1112d
18131,ngr1112e
18132,ngr1112f
18133,ngr1112g
18134,ngr1112h
18135,ngr1112i
18136,ngr1212b
18137,ngr1212c
18138,ngr1212d
18139,ngr1212e
18140,ngr1212f
18141,ngr1212g
18142,ngr1312b
18143,ngr1312c
18144,ngr1312d
18145,ngr1312h
18146,ngr1312i
18147,ngr1412a
18148,ngr1412b
18149,ngr1412d
18150,ngr1412e
18151,ngr1412g
18152,ngr1412h
18153,ngr1412i
18154,ngr1512a
18155,ngr1512b
18156,ngr1512c
18157,ngr1512d
18158,ngr1512e
18159,ngr1512f
18160,ngr1512g
18161,ngr1512h
18162,ngr1512i
18163,ngr1612b
18164,ngr1612c
18165,ngr1612e
18166,ngr1612f
18167,ngr1612g
18168,ngr1612h
18169,ngr1612i
18170,ngr1712c
18171,ngr1712d
18172,ngr1712e
18173,ngr1712f
18174,ngr1712g
18175,ngr1712h
18176,ngr1712i
18177,ngr1812a
18178,ngr1812b
18179,ngr1812c
18180,ngr1812d
18181,ngr1812e
18182,ngr1812h
18183,ngr1812i
18184,ngr1912a
18185,ngr1912d
18186,ngr1912g
18189,ngr2012d
18194,ngr2012e
18197,ngr2012f
18198,ngr2012h
18200,ngr2012i
18202,ngr2112b
18203,ngr2112c
